compound_id,log2FC,pval,comparison,condition,timepoint_h,adj_pval,significant
UT_HILIC_POS_11279,-2.6446904681112464,0.0023783085856264,P_vs_0h_t144h,P,144,0.0070615640226954,True
UT_HILIC_POS_59297,1.1014516036355388,0.0336656320447795,P_vs_0h_t144h,P,144,0.0602831376146871,False
UT_HILIC_POS_35041,-1.4878418295070297,0.0037235332775489,P_vs_0h_t144h,P,144,0.0097880385548455,True
UT_HILIC_POS_84345,5.306738238687046,0.0014776826352262,P_vs_0h_t144h,P,144,0.0050162574601583,True
UT_HILIC_POS_88114,0.6840754670573688,0.2593243360720052,P_vs_0h_t144h,P,144,0.3190584869836153,False
UT_HILIC_POS_79351,-2.456350126637833,0.0054860623316058,P_vs_0h_t144h,P,144,0.0132062286630323,True
UT_HILIC_POS_61021,1.5618845075009204,0.0507113327292929,P_vs_0h_t144h,P,144,0.0833037021550939,False
UT_HILIC_POS_84364,5.107568232322162,0.0003305036440794,P_vs_0h_t144h,P,144,0.0015714319226262,True
UT_HILIC_POS_85114,4.137841550258955,0.0007908395831544,P_vs_0h_t144h,P,144,0.0031205551593029,True
UT_HILIC_POS_89462,6.4206947838804425,0.2138231832178882,P_vs_0h_t144h,P,144,0.2694348094704419,False
